group,quiksilver_team,quiksilver_place,canonical_team,canonical_team_slug,canonical_club,canonical_club_slug,mapping_status,alias_confidence,recommended_action,notes,resolution_note
16U Boys,La Jolla United,4,La Jolla United 16U Boys,la-jolla-united-16u-boys,La Jolla United,la-jolla-united,new_team_candidate_conflict,medium,hold as separate candidate; do not map this plain source row to La Jolla United Gold because source has a separate La Jolla Gold row,,7.29 corrects prior review mapping that pointed this row at La Jolla United Gold.
16U Boys,SD Shores Gold,14,San Diego Shores Gold 16U Boys,san-diego-shores-gold-16u-boys,San Diego Shores,san-diego-shores,new_team_candidate,high,add/validate as San Diego Shores depth-team candidate; do not merge into San Diego Shores Black/A,,"Source also has SD Shores Black as runner-up, so Gold should remain separate."
16U Boys,LB Shore,16,Long Beach Shore 16U Boys,long-beach-shore-16u-boys,Long Beach Shore,long-beach-shore,new_team_candidate,high,add/validate Long Beach Shore 16U Boys candidate,,Short source label LB Shore resolved to Long Beach Shore club.
16U Boys,NSD Stars,18,NSD Stars 16U Boys,nsd-stars-16u-boys,NSD Stars,nsd-stars,new_team_candidate,high,add/validate NSD Stars 16U Boys candidate,,"Club exists in CPI, age/gender team not currently ranked."
16U Girls,LB Viking,1,LB Viking / Viking 16U Girls,viking-16u-girls-quiksilver,Viking,viking,new_team_candidate,medium,create/validate a 16U Girls Viking A-level candidate before rank movement; do not merge into Viking White without confirmation,Champion; beat OVAC 5–3,Current CPI has Viking White for 16U Girls; Quiksilver champion appears to be an A/Blue-level team.
16U Girls,OVAC,2,OVAC 16U Girls,ovac-16u-girls,OVAC,ovac,new_team_candidate,high,add/validate OVAC 16U Girls as Quiksilver runner-up candidate before rank movement,Runner-up,"Club exists in CPI, age/gender team not currently ranked."
16U Girls,Mid Valley,5,Mid Valley 16U Girls,mid-valley-16u-girls,Mid Valley,mid-valley,new_team_candidate,high,add/validate Mid Valley 16U Girls candidate before rank movement,Beat Commerce 13–3 for 5th,"Club exists in CPI, age/gender team not currently ranked."
18U Boys,Greenwich,5,Greenwich 18U Boys,greenwich-18u-boys,Greenwich,greenwich,new_team_candidate,high,add/validate Greenwich 18U Boys candidate,Beat SD Shores 12–10 for 5th,"Club exists in CPI, age/gender team not currently ranked."
18U Boys,CIU,8,CIU 18U Boys,ciu-18u-boys,CIU,ciu,new_team_candidate,high,add/validate CIU 18U Boys candidate,,"Club exists in CPI, age/gender team not currently ranked."
18U Boys,LB Shore,9,Long Beach Shore 18U Boys,long-beach-shore-18u-boys,Long Beach Shore,long-beach-shore,new_team_candidate,high,add/validate Long Beach Shore 18U Boys candidate,Beat Diablo Alliance by shootout notation 14.4–14.2 for 9th,Short source label LB Shore resolved to Long Beach Shore club.
18U Boys,Olympus,11,Olympus 18U Boys,olympus-18u-boys,Olympus,olympus,new_club_candidate,medium,add/validate Olympus club/team identity before ranking import,Beat Sand Canyon 8–4 for 11th,Not currently represented as an active CPI club/team in the ranking list.
18U Boys,Foothill,13,Foothill 18U Boys,foothill-18u-boys,Foothill,foothill,new_team_candidate,high,add/validate Foothill 18U Boys candidate,Beat Commerce 10–9 for 13th,"Foothill club exists in CPI, but 18U Boys is not currently ranked."
18U Boys,Alameda WPC,15,Alameda WPC 18U Boys,alameda-wpc-18u-boys,Alameda,alameda,new_team_candidate,medium,add/validate Alameda WPC 18U Boys candidate,Beat Supreme 20–11 for 15th,Source uses Alameda WPC; CPI currently has Alameda A in 14U Boys only.
18U Girls,680,2,680 18U Girls,680-18u-girls,680,680,new_team_candidate,high,add/validate 680 18U Girls candidate before rank movement,Runner-up,"Club exists in CPI, age/gender team not currently ranked."
18U Girls,SD Shores,3,San Diego Shores 18U Girls,san-diego-shores-18u-girls,San Diego Shores,san-diego-shores,new_team_candidate,high,add/validate San Diego Shores 18U Girls candidate before rank movement,Beat Mission 7–4 for 3rd,Short source label resolved to San Diego Shores club.
18U Girls,Mid Valley,5,Mid Valley 18U Girls,mid-valley-18u-girls,Mid Valley,mid-valley,new_team_candidate,high,add/validate Mid Valley 18U Girls candidate before rank movement,Beat Rancho Tsunami 13–7 for 5th,"Club exists in CPI, age/gender team not currently ranked."
